"Town(s)","College(s)","Town Link(s)","College Link(s)"
"585","Hampshire","","https://en.wikipedia.org/wiki/Hampshire_College"
"Amherst","Hampshire College","https://en.wikipedia.org/wiki/Amherst,_Massachusetts","https://en.wikipedia.org/wiki/Amherst_College"
"Ocala","Hampton Junior College","","https://en.wikipedia.org/wiki/Hampton_Junior_College"
"Hampton","Hampton University","https://en.wikipedia.org/wiki/Hampton,_Virginia","https://en.wikipedia.org/wiki/Hampton_University"
"Hannibal, Missouri","Hannibal-Lagrange University","","https://en.wikipedia.org/wiki/Hannibal-LaGrange_University"
"Hannibal","Hannibal–Lagrange University","","https://en.wikipedia.org/wiki/Hannibal%E2%80%93LaGrange_University"
"Hanover","Hanover College","https://en.wikipedia.org/wiki/Hanover,_Indiana","https://en.wikipedia.org/wiki/Hanover_College"
"Lower Merion township","Harcum College","","https://en.wikipedia.org/wiki/Harcum_College"
"Mexico","Hardin College And Conservatory Of Music","","https://en.wikipedia.org/wiki/Hardin_College_and_Conservatory_of_Music"
"Abilene","Hardin-Simmons University","https://en.wikipedia.org/wiki/Abilene,_Texas","https://en.wikipedia.org/wiki/Abilene_Christian_University"
"Memphis","Harding School Of Theology","","https://en.wikipedia.org/wiki/Harding_School_of_Theology"
"Searcy","Harding University","https://en.wikipedia.org/wiki/Searcy,_Arkansas","https://en.wikipedia.org/wiki/Harding_University"
"Bel Air","Harford Community College","","https://en.wikipedia.org/wiki/Harford_Community_College"
"No. 512","Harper College","","https://en.wikipedia.org/wiki/Harper_College"
"Harrisburg city","Harrisburg Area Community College , Central Pennsylvania'S Community College","",""
"Harrisburg city","Harrisburg University Of Science And Technology","","https://en.wikipedia.org/wiki/Harrisburg_University_of_Science_and_Technology"
"St. Louis","Harris–Stowe State University","","https://en.wikipedia.org/wiki/Harris%E2%80%93Stowe_State_University"
"Hartford","Hartford College For Women","","https://en.wikipedia.org/wiki/Hartford_College_for_Women"
"Hartford","Hartford Female Seminary","","https://en.wikipedia.org/wiki/Hartford_Female_Seminary"
"Hartford","Hartford International University For Religion And Peace","","https://en.wikipedia.org/wiki/Hartford_International_University_for_Religion_and_Peace"
"Rapidan","Hartland College","","https://en.wikipedia.org/wiki/Hartland_College"
"Richmond","Hartshorn Memorial College","",""
"Oneonta","Hartwick College","https://en.wikipedia.org/wiki/Oneonta,_New_York","https://en.wikipedia.org/wiki/SUNY_Oneonta"
"7","Harvard","","https://en.wikipedia.org/wiki/Harvard_University"
"Cambridge","Harvard University","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts","https://en.wikipedia.org/wiki/Harvard_University"
"Claremont","Harvey Mudd College","","https://en.wikipedia.org/wiki/Harvey_Mudd_College"
"Lawrence","Haskell Indian Nations University","https://en.wikipedia.org/wiki/Lawrence,_Kansas","https://en.wikipedia.org/wiki/University_of_Kansas"
"Hastings","Hastings College","https://en.wikipedia.org/wiki/Hastings,_Nebraska","https://en.wikipedia.org/wiki/Hastings_College"
"Haverford township","Haverford College","","https://en.wikipedia.org/wiki/Haverford_College"
"Honolulu","Hawaii Pacific University","","https://en.wikipedia.org/wiki/Hawaii_Pacific_University"
"Hilo","HawaiʻI Community College","","https://en.wikipedia.org/wiki/Hawai%CA%BBi_Community_College"
"Honolulu","HawaiʻI Pacific University","","https://en.wikipedia.org/wiki/Hawaii_Pacific_University"
"Waterloo","Hawkeye Community College","","https://en.wikipedia.org/wiki/Hawkeye_Community_College"
"Center City","Hazelden Graduate School Of Addiction Studies","","https://en.wikipedia.org/wiki/Hazelden_Foundation"
"Oklahoma City, Oklahoma","Heartland Baptist Bible College","","https://en.wikipedia.org/wiki/Heartland_Baptist_Bible_College"
"No. 540","Heartland Community College","","https://en.wikipedia.org/wiki/Heartland_Community_College"
"Newton","Hebrew College","","https://en.wikipedia.org/wiki/Hebrew_College"
"Tiffin","Heidelberg University","https://en.wikipedia.org/wiki/Tiffin,_Ohio","https://en.wikipedia.org/wiki/Tiffin_University"
"Helena","Helena College University Of Montana","https://en.wikipedia.org/wiki/Helena,_Montana","https://en.wikipedia.org/wiki/Carroll_College"
"Athens","Hellenic American College","","https://en.wikipedia.org/wiki/Hellenic_American_College"
"Nashua","Hellenic American University","","https://en.wikipedia.org/wiki/Hellenic_American_University"
"Brookline","Hellenic College Holy Cross Greek Orthodox School Of Theology","","https://en.wikipedia.org/wiki/Hellenic_College_Holy_Cross_Greek_Orthodox_School_of_Theology"
"Arkadelphia","Henderson State University","https://en.wikipedia.org/wiki/Arkadelphia,_Arkansas","https://en.wikipedia.org/wiki/Henderson_State_University"
"Conway","Hendrix College","","https://en.wikipedia.org/wiki/Hendrix_College"
"Brooklyn Park , Eden Prairie","Hennepin Technical College","","https://en.wikipedia.org/wiki/Hennepin_Technical_College"
"Dearborn","Henry Ford College","https://en.wikipedia.org/wiki/Dearborn,_Michigan","https://en.wikipedia.org/wiki/University_of_Michigan%E2%80%93Dearborn"
"Flag Coat of arms National anthem","Heraldry","",""
"Sunnyvale","Herguan University","","https://en.wikipedia.org/wiki/Herguan_University"
"Dunn","Heritage Bible College","","https://en.wikipedia.org/w/index.php?title=Heritage_Bible_College&action=edit&redlink=1"
"Florence","Heritage Christian University","","https://en.wikipedia.org/wiki/Heritage_Christian_University"
"Kenosha","Herzing University","https://en.wikipedia.org/wiki/Kenosha,_Wisconsin","https://en.wikipedia.org/wiki/University_of_Wisconsin-Parkside"
"Madison","Herzing University–Madison","","https://en.wikipedia.org/wiki/Herzing_University"
"High Point","High Point University","https://en.wikipedia.org/wiki/High_Point,_North_Carolina","https://en.wikipedia.org/wiki/High_Point_University"
"San Diego","High Tech High Graduate School Of Education","","https://en.wikipedia.org/wiki/High_Tech_High_charter_schools#Graduate_School_of_Education"
"Brookfield","High-Tech Institute–Brookfield","","https://en.wikipedia.org/wiki/High-Tech_Institute"
"No. 519","Highland Community College","","https://en.wikipedia.org/wiki/Highland_Community_College_(Illinois)"
"Des Moines","Highland Park College","","https://en.wikipedia.org/wiki/Highland_Park_College"
"Highland Park","Highland Park Community College","","https://en.wikipedia.org/wiki/Highland_Park_Community_College"
"Birmingham","Highlands College","","https://en.wikipedia.org/wiki/Church_of_the_Highlands#Affiliations"
"Franciscan Sisters of St. Joseph","Hilbert College ( Hamburg, New York )","",""
"Hillsboro","Hill College","","https://en.wikipedia.org/wiki/Hill_College"
"Clinton","Hillman College","","https://en.wikipedia.org/wiki/Hillman_College_(Mississippi)"
"Hillsboro","Hillsboro Female College","",""
"Hillsdale","Hillsdale College","https://en.wikipedia.org/wiki/Hillsdale,_Michigan","https://en.wikipedia.org/wiki/Hillsdale_College"
"Goliad","Hillyer Female College","",""
"Raymond","Hinds Community College","","https://en.wikipedia.org/wiki/Hinds_Community_College"
"Utica","Hinds Community College At Utica","","https://en.wikipedia.org/wiki/Hinds_Community_College_at_Utica"
"Hiram","Hiram College","https://en.wikipedia.org/wiki/Hiram,_Ohio","https://en.wikipedia.org/wiki/Hiram_College"
"Scottsbluff","Hiram Scott College","","https://en.wikipedia.org/wiki/Hiram_Scott_College"
"Timeline Indigenous peoples of Florida Spanish Florida missions British Rule East Florida West Florida Florida Territory Seminole Wars Slavery Plantations of Leon County Mosquito County Armed Occupation Act Civil War Great Migration Fishing ranchos Florida East Coast Railway Draining and development of the Everglades Florida land boom of the 1920s Kennedy Space Center Disney World","History","","https://en.wikipedia.org/wiki/History_of_education_in_the_United_States"
"Madisonville","Hiwassee College","","https://en.wikipedia.org/wiki/Hiwassee_College"
"Higher Learning Commission","Hlc","","https://en.wikipedia.org/wiki/Higher_Learning_Commission"
"Ho","Ho Technical University","https://en.wikipedia.org/w/index.php?title=Ho,_Volta_Region&action=edit&redlink=1","https://en.wikipedia.org/wiki/University_of_Health_and_Allied_Sciences"
"Geneva","Hobart And William Smith Colleges","https://en.wikipedia.org/wiki/Geneva,_New_York","https://en.wikipedia.org/wiki/Hobart_and_William_Smith_Colleges"
"Braunschweig","Hochschule Für Bildende Künste Braunschweig","https://en.wikipedia.org/wiki/Braunschweig","https://en.wikipedia.org/wiki/Braunschweig_University_of_Technology"
"Freiburg im Breisgau","Hochschule Für Musik Freiburg","https://en.wikipedia.org/wiki/Freiburg_im_Breisgau","https://en.wikipedia.org/wiki/Hochschule_f%C3%BCr_Musik_Freiburg"
"Nelsonville","Hocking College","","https://en.wikipedia.org/wiki/Hocking_College"
"Hempstead","Hofstra University","","https://en.wikipedia.org/wiki/Hofstra_University"
"Roanoke","Hollins University","https://en.wikipedia.org/wiki/Roanoke,_Virginia","https://en.wikipedia.org/wiki/Hollins_University"
"Goodman","Holmes Community College","","https://en.wikipedia.org/wiki/Holmes_Community_College"
"Cromwell","Holy Apostles College And Seminary","","https://en.wikipedia.org/wiki/Holy_Apostles_College_and_Seminary"
"148","Holy Cross","","https://en.wikipedia.org/wiki/College_of_the_Holy_Cross"
"Notre Dame","Holy Cross College","https://en.wikipedia.org/wiki/Notre_Dame,_Indiana","https://en.wikipedia.org/wiki/University_of_Notre_Dame"
"also associated with Brothers of Holy Cross","Holy Cross College ( Notre Dame, Indiana )","",""
"Manitowoc, Wisconsin","Holy Family College","","https://en.wikipedia.org/wiki/Holy_Family_College_(Wisconsin)"
"Philadelphia, Pennsylvania","Holy Family University","","https://en.wikipedia.org/wiki/Holy_Family_University"
"Washington, D.C.","Holy Name College","",""
"Oakland, California","Holy Names University","","https://en.wikipedia.org/wiki/Holy_Names_University"
"Waterford","Holy Redeemer College","","https://en.wikipedia.org/wiki/Holy_Redeemer_College"
"Atlanta, Georgia","Holy Spirit College","","https://en.wikipedia.org/wiki/Holy_Spirit_College"
"Holyoke","Holyoke Community College","","https://en.wikipedia.org/wiki/Holyoke_Community_College"
"Columbus","Hondros College Of Nursing","","https://en.wikipedia.org/wiki/Hondros_College_of_Nursing"
"Honolulu","Honolulu Community College","","https://en.wikipedia.org/wiki/Honolulu_Community_College"
"Frederick","Hood College","","https://en.wikipedia.org/wiki/Hood_College"
"Salisbury","Hood Theological Seminary","","https://en.wikipedia.org/wiki/Hood_Theological_Seminary"
"Holland","Hope College","https://en.wikipedia.org/wiki/Holland,_Michigan","https://en.wikipedia.org/wiki/Hope_College"
"Fullerton","Hope International University","","https://en.wikipedia.org/wiki/Hope_International_University"
"Conway","Horry-Georgetown Technical College","","https://en.wikipedia.org/wiki/Horry-Georgetown_Technical_College"
"David Gómez, President","Hostos Community College","","https://en.wikipedia.org/wiki/Hostos_Community_College"
"Houghton","Houghton College","https://en.wikipedia.org/wiki/Houghton,_New_York","https://en.wikipedia.org/wiki/Houghton_College"
"Bridgeport","Housatonic Community College","","https://en.wikipedia.org/wiki/Housatonic_Community_College"
"Houston, Texas","Houston Christian University","","https://en.wikipedia.org/wiki/Houston_Christian_University"
"Houston (Harris County) Katy (Harris County) Missouri City (Wharton County) Stafford (Fort Bend County)","Houston Community College","","https://en.wikipedia.org/wiki/Houston_Community_College"
"Perry","Houston Female College","",""
"NPR","How To Choose A College That'S Right For You","","https://www.npr.org/templates/story/story.php?storyId=7506102"
"Big Spring","Howard College","https://en.wikipedia.org/wiki/Big_Spring,_Texas","https://en.wikipedia.org/wiki/Howard_College"
"Columbia","Howard Community College","","https://en.wikipedia.org/wiki/Howard_Community_College"
"Brownwood, Texas","Howard Payne University","","https://en.wikipedia.org/wiki/Howard_Payne_University"
"Silver Spring","Howard University","https://en.wikipedia.org/wiki/Silver_Spring,_Maryland","https://en.wikipedia.org/wiki/Montgomery_College"
"Fayette","Howard–Payne Junior College","","https://en.wikipedia.org/wiki/Howard%E2%80%93Payne_Junior_College"
"Hsinchu","Hsuan Chuang University","https://en.wikipedia.org/wiki/Hsinchu","https://en.wikipedia.org/wiki/National_Tsing_Hua_University"
"Troy","Hudson Valley Community College","https://en.wikipedia.org/wiki/Troy,_New_York","https://en.wikipedia.org/wiki/Rensselaer_Polytechnic_Institute"
"Shanghai","Hult International Business School","","https://en.wikipedia.org/wiki/Hult_International_Business_School"
"Public ( U.S. Government )","Human Resources University","","https://en.wikipedia.org/wiki/Human_Resources_University"
"Arcata","Humboldt State University","https://en.wikipedia.org/wiki/Arcata,_California","https://en.wikipedia.org/wiki/Humboldt_State_University"
"Stockton","Humphreys University","","https://en.wikipedia.org/wiki/Humphreys_University"
"Manhattan","Hunter College","","https://en.wikipedia.org/wiki/Hunter_College"
"Montgomery","Huntingdon College","","https://en.wikipedia.org/wiki/Huntingdon_College"
"Huntington","Huntington Junior College","","https://en.wikipedia.org/wiki/Huntington_Junior_College"
"Huntington","Huntington University","","https://en.wikipedia.org/wiki/Huntington_University_(United_States)"
"Huntsville","Huntsville Bible College","","https://en.wikipedia.org/wiki/Huntsville_Bible_College"
"Huntsville","Huntsville Female College","","https://en.wikipedia.org/wiki/Huntsville_Female_College"
"Huron","Huron University","","https://en.wikipedia.org/wiki/Huron_University"
"Philadelphia","Hussian School Of Art","","https://en.wikipedia.org/wiki/Hussian_School_of_Art"
"Bangor","Husson University","","https://en.wikipedia.org/wiki/Husson_University"
"1875","Huston–Tillotson University","","https://en.wikipedia.org/wiki/Huston%E2%80%93Tillotson_University"
"Virginia Beach","Hyperlearning Technologies, Inc.","",""
"Hólar","Hólar University College","https://en.wikipedia.org/wiki/H%C3%B3lar","https://en.wikipedia.org/wiki/H%C3%B3lar_University_College"
"International Assembly for Collegiate Business Education","Iacbe","","https://en.wikipedia.org/wiki/International_Assembly_for_Collegiate_Business_Education"
"Managua","Ibero-American University Of Science And Technology Universidad Iberoamericana De Ciencia Y Tecnología","",""
"New York","Icahn School Of Medicine At Mount Sinai","","https://en.wikipedia.org/wiki/Icahn_School_of_Medicine_at_Mount_Sinai"
